ward_no,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198
21,152,173,20,212,149,3,327,,,,,,,,,,,,,222,95,3,,,3,,,,,,,4,19,115,161,,,,,,,,,,,50,,,,6,3,,,,6,,,,,,,,60,3,,,,,,,,,,,,,,,9,3,,,,,,,,,,3,,,114,58,4,,,,,,,,,,,,,,3,227,11,,,,,,1,9,88,,,,,,,,,,,,,,,,,,,,3,,,,9,,1,,,,,,,,4,,,,,,,,,,,,,14,,4,,,,,,,,,,,4,4,4,9,,,,,,,,,,,,,,,9,
22,,,9,26,,107,29,,,39,,,,,,29,68,52,,94,6,58,,61,35,,107,,35,,,97,,166,127,6,,55,,,19,48,16,,,32,,,,65,19,,,19,16,58,,,,,,,,3,,,,,29,6,13,,153,,,,,,,,39,39,19,13,58,6,,,,,,,71,16,,,,,,,,6,,,,,,,3,117,19,,,,,,,6,29,,,,,,,,,,74,58,29,,,,,,,,,,,,13,,19,,,,16,110,,,13,,,,,29,156,9,,19,19,9,29,65,6,29,6,16,32,3,26,58,,32,16,6,58,,,,,,,13,,,3,6,6,,,19,32,,,
23,119,,,,116,757,29,,,,,,,,,,,,,3,,,365,9,23,,,,,53,674,26,,13,23,,,,,,,,,,,9,,,,,,,,,,,,,,23,262,,189,,,,,,,,,,,,,,,229,,,,,,,,,,,,,19,,126,19,,,,,,,,,,,,,,,3,578,76,,,13,13,13,,13,103,,,,,,,,,,,,,,,,,,26,19,9,6,,,26,,39,,,,,,,,26,,,,,,,,,,,,,,13,39,26,26,,,,,,,39,,,,,,,,,,,,,,,,,,,,,
24,31,6,16,47,144,241,121,38,15,66,2,6,,,2,45,43,32,,10,,19,3,843,794,,70,,191,214,28,3,,1,19,4,,50,,,8,46,9,,4,2,,,150,45,168,9,3,164,25,35,,,13,503,7,,401,,,,,,29,2,4,,103,,,,,365,12,6,120,23,21,4,102,24,,6,,2,3,,135,66,,,,,,,,4,,,,,,,12,720,80,1,3,3,,,,,193,,,,,,,,,,70,51,15,,,,,,,,1,,,,,,,,,3,14,258,12,,,,,,,18,100,26,9,10,10,5,30,36,,8,,8,16,1,21,141,,45,28,,26,7,8,3,6,,,,,,7,14,14,,,,,,,12
25,23,17,23,67,197,370,362,110,44,138,,,,,,106,49,40,,23,3,19,12,1378,1359,339,297,206,202,259,44,,,3,60,7,,97,,,24,80,8,,16,,,,124,345,499,64,8,204,197,56,,10,46,524,19,,547,,7,,1,,51,3,7,,136,,,5,,514,325,76,316,39,46,7,250,72,14,14,3,64,1,,177,108,,,,,3,,,3,,,1,5,3,,8,1012,400,19,10,14,,,,3,282,,,,,,3,1,,,129,85,16,1,,,,,,,,,,,7,,10,,,5,35,738,21,,7,,,,1,26,120,67,26,10,10,5,60,46,3,19,5,12,17,1,55,405,14,80,55,1,44,8,,8,17,,,1,,,26,40,53,14,,5,8,,,35
26,,,,,16,2,9,2,,,,,,,,,,,,,,,,,444,474,204,176,,,,,,,,,,,,,,,,,,,,,,491,13,90,,16,142,18,,13,23,44,,,111,,,,,,,,,,,,,,,130,465,139,18,,,,27,9,18,27,,102,,,48,60,,,,,,,,,,,,,,,,381,407,4,9,18,,,,,102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,83,37,,,,,,,,,,,,,,,,,,,,,,55,55,9,,,,,,,,,,,,,,4,9,9,9,,,,,,
27,,,14,38,,180,56,9,,72,4,14,,,4,58,101,77,,29,,53,,111,269,141,728,299,233,,,,,,,9,,82,,,29,72,24,,,,,,9,286,219,19,27,83,177,95,,,286,59,,,456,,,,,,43,9,19,,227,,,,,548,277,27,67,58,77,27,101,14,3,19,3,6,,,74,62,8,8,,,,,,9,,,8,8,,,,512,62,9,20,8,,,,,70,,16,,,,16,,,,111,87,43,,,,,,,,,,,,,,,,,8,24,172,32,,,,,,,43,232,14,,29,29,14,43,101,,24,,24,48,4,54,87,,88,51,,64,6,12,,,,,,,,4,9,9,,,,,,,
28,,,,,,,,,,,,,,,,,,,,,,,,,157,103,252,241,43,,,,,,,,,,,,,,,,,,,,5,10,,16,,,37,,,,10,70,,,160,,,,,,,,,,,,,,,206,105,4,,,,,,,4,,4,,,,81,35,5,5,,,,,,,,,5,5,,,,268,21,12,16,,,,,5,,,10,,,,10,,,,,,,,,,,,,,,,,,10,,16,,,,,,,,10,,,,,,,,,,,,,,5,10,5,,,,,,,,,5,16,,,,,,,5,,,,,,,,16,27,,,
29,1,,9,27,19,79,23,3,,29,1,5,,,1,23,40,30,,11,,21,,361,220,,280,61,228,,,,,,,3,,32,,,11,29,9,,,,,,98,100,13,,,114,13,38,,,133,216,,,270,,,,,,17,3,7,,90,,,,,332,158,36,27,23,11,7,40,5,7,23,7,15,1,,71,30,,,,,,,,3,,,,,,,,398,108,30,48,17,,,,5,96,,,,,,,,,,44,34,17,,,,,,,,,,,,11,,17,,,17,9,75,69,,11,,,,,17,92,5,,11,11,5,17,44,5,21,5,9,19,1,58,34,,67,42,5,56,7,15,,,,,5,,,1,3,3,,,17,29,,,
30,15,,,,60,39,,,,,,,,,,,,,,,,,10,134,94,,,,,94,9,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,63,3,,94,,,,,,,,,,,,,,,61,,,,,,,,,,,,,,,1,7,,,,,,,,,,,,,,,7,63,30,,,0,,0,0,,29,,,,,,,,,,,,,,,,,,5,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
