ward_no,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198
88,,,,,,,15,5,10,5,,,,,,,,3,,25,,,,10,13,20,20,,20,,,3,3,16,38,,,,,,,,,,,8,,,,28,3,3,,16,6,,15,89,16,,,,10,,,,,,,,,,10,,,,,,50,316,20,58,134,510,621,267,1033,333,32,62,,,8,72,13,5,,,,,,,5,10,,5,,,11,466,1083,331,581,615,43,,32,5,276,,5,5,,,,,,,10,,,,6,,,,,,15,,,3,25,,5,15,1,20,748,274,242,6,10,,6,35,,8,,,,47,48,18,55,64,6,42,11,18,53,35,32,6,,74,75,8,114,30,35,8,,,,,,,,3,,,,,,,,
89,,,,,,,17,5,11,5,,,,,,,,5,,28,,,,,11,,11,17,22,,,,,17,125,,,11,,,,,,11,11,,,,,62,5,,,51,17,34,68,153,,,,,5,,,,,,,,,,11,,,,,,68,399,,102,51,28,17,11,79,108,34,,,,22,17,17,5,,,,,,,5,11,,5,,,22,142,228,387,39,262,,,34,22,68,,5,5,,,,,,,11,,,,22,,,,,,11,11,11,,,,,,,57,34,11,222,11,,,,5,11,28,,,5,22,28,17,51,74,,28,,17,57,45,,11,5,34,39,,79,28,11,11,5,11,,,,,,,,,,,,,,
90,2,2,,13,,,8,,,,,,,,,,,,,8,4,,,4,80,97,8,,17,,,8,13,6,11,,,13,,,15,2,,4,4,28,,,8,1289,589,609,346,716,980,,77,235,8,,,,26,,,,,,,,,,2,,,,,26,1772,805,31,358,807,51,8,,46,82,,71,6,,2,117,2,2,,,,,,,,,2,6,,2,,820,2248,80,8,57,53,,53,15,578,,,,,,4,2,,2,11,,,22,4,4,,4,,2,11,,,8,48,,11,40,4,4,11,,204,8,22,,17,37,,,,,2,53,51,22,53,57,13,57,17,22,53,31,13,,,31,53,13,111,17,13,4,4,,,,,,,,,,,,,,,
91,137,,,,11,126,34,,,,,,,,,,,,,,,,68,34,11,,,,11,,103,,,,57,,,68,,,80,11,,22,22,,,,11,,,,,,,,,,,22,22,,91,,,,34,,,,,,,,11,34,22,206,252,,,,,,,,,,,34,22,11,57,22,,,,,,,,,,,,,,,11,274,148,,,,,,,22,22,,,,,,,,,,,,,,,,,,,,,,,45,91,,22,,,,,,,,,,91,,,,,,,45,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,231,,,,,,,,,,,,,,,115,346,,,,,,,,,,,,115,,,115,,,,,,,,,,,,,,,115,346,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,428,530,69,956,352,185,1249,52,54,32,14,9,,37,4,19,71,84,44,1254,178,54,94,327,247,52,114,148,91,4,153,143,24,374,1140,42,39,91,42,19,57,116,47,118,118,96,,,86,2,,7,,64,24,,7,9,,255,59,,946,242,423,267,510,69,14,4,2,52,47,91,52,565,262,322,76,32,,,,,,,9,12,9,2,12,,927,892,14,2,19,7,168,37,64,39,,,49,143,156,12,148,1581,76,12,,24,7,4,12,37,773,,4,,,,79,49,,,14,2,,24,37,,,,9,9,32,37,,54,66,12,89,37,7,4,,,151,9,64,29,39,,,,,,,39,19,,2,39,22,32,22,19,,2,49,9,4,9,9,14,42,14,9,12,,,14,7,4,,2,,4,22,9,17,24,4,22,
94,115,139,59,293,56,26,358,19,43,192,94,166,4,253,133,104,42,31,12,347,18,2,3,33,31,13,19,13,8,6,5,8,3,16,578,84,17,778,96,45,100,69,17,127,243,10,0,,7,74,31,21,14,54,54,1,8,17,5,25,1,,66,95,559,46,124,16,7,12,43,71,58,22,14,85,138,32,103,42,4,31,57,25,30,12,50,21,1,27,1,0,184,301,122,73,4,8,74,25,42,20,7,25,33,69,34,45,124,712,203,14,30,29,2,0,39,29,478,9,67,14,22,12,40,28,15,18,83,31,43,53,14,29,,31,1,18,53,57,5,77,120,9,134,149,2,6,25,24,107,21,64,36,58,14,5,30,67,81,7,38,20,8,27,68,38,48,26,33,24,3,62,38,6,29,9,19,40,16,25,23,4,22,5,14,5,48,24,35,34,83,52,16,14,10,50,41
95,5,2,2,20,27,,24,2,9,22,,110,2,104,12,68,14,,,19,3,,,,,,5,4,,,,,,1,84,13,2,281,95,130,130,68,40,130,129,,,,,2,2,,,4,3,,,1,,,,,10,4,191,60,176,36,9,18,123,327,201,17,8,51,10,3,5,18,,2,4,,,2,9,9,3,1,,,6,275,64,173,10,13,174,45,183,88,19,61,119,214,47,111,60,109,16,,,3,,,1,9,191,60,308,39,67,48,95,63,35,44,120,44,12,136,42,,,,,120,76,55,,26,43,4,14,6,2,1,,2,18,4,29,14,9,2,,4,11,12,,2,5,2,12,21,16,40,19,16,2,1,4,1,,18,10,2,5,1,1,13,1,4,,,,3,1,2,2,8,4,1,,,4,2
96,,,,,,,,,,3,,5,,3,3,17,2,,,,,,,,,,2,2,,,,,,,6,3,2,19,10,36,30,9,12,15,7,,,,,1,1,,,2,1,,,,,,,,3,,9,16,57,11,1,3,33,110,66,6,3,6,2,1,2,3,,1,2,,,0,2,1,0,0,,,0,73,77,3,4,2,53,10,55,26,7,24,39,71,16,38,3,40,4,,,0,,,0,1,17,12,83,16,21,12,37,26,15,17,52,20,4,50,12,,,,1,23,16,11,,2,3,0,3,3,1,0,,0,8,,2,,4,2,,2,5,5,,,,,,,0,1,0,0,,,2,,,,,,,,,,,,,,,,,,,,,,,,,1
97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,19,139,29,,119,9,,19,49,,,,,,,,,,,,,,,,,,59,,19,188,,,,,,,,,,39,29,,,,,,,,,,,,,,,,79,89,89,79,99,,,,,,,,,,,,19,168,,,,,,,,,159,,,,,,,,,,,,,,,,,,,,,79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,,,,,,,,,,,,42,,95,42,,10,,,,,,,,,,,,,,,,,,21,21,10,222,63,,42,31,31,95,21,,,,,,,,,,,,,,,,,,,,31,42,105,,21,,,,42,10,,148,,,,,,,,,,,,,,,,,31,179,127,42,,,158,105,10,,10,10,,21,52,52,21,31,,,,,,,,10,63,,,,10,,21,,,,,,,,,,,,,,,,,,21,,42,31,,,,,84,,10,,,,,,,,,,,,31,52,,10,,,,,42,10,,,,,,,,42,,21,,,,,,,,,,,,,10,
99,10,7,34,46,1,1,13,2,58,76,8,3,,15,8,35,25,1,,41,,,,,1,,,,,,,20,,,63,28,7,58,2,6,31,52,70,76,46,7,1,,,,,,,,,,,,,,,,26,16,68,10,386,75,7,2,,5,34,1,10,102,15,,,,,,,,,,,,,,,,42,91,95,65,,9,272,30,13,3,5,11,33,117,100,159,3,18,,,,,,,2,1,11,19,55,1,6,4,66,27,21,10,18,20,8,35,33,,,,1,23,8,61,,21,20,1,9,10,5,2,,,17,,10,10,10,5,4,16,7,36,0,0,1,0,5,9,3,3,5,8,1,,5,,,4,0,,,,,10,,3,,,,7,,,,17,10,2,,,3,6
100,13,,34,83,,,,,62,97,34,,,,,,,,,,,,,,,,,,,,,,,,13,27,,13,,,,,,,27,,,,,,,,,,,,,,,,,,31,,10,13,66,,,,,,27,97,34,100,10,,,,,,,,,,,,,,,,52,170,138,69,,34,166,250,48,20,13,6,34,34,232,152,6,38,,,,,,,,27,55,27,83,,6,6,6,,,,3,,,,27,13,,6,,27,6,138,,,83,27,41,,,,,,,,62,,,,,,,,,,,,20,34,27,90,27,41,27,,,,,41,13,,,,,27,,13,,,,,,,,,,,,,6,
101,1,,3,6,,,,,7,9,,,,,1,11,2,,,6,,,,,,,,,,,,4,,,15,3,,12,6,117,18,1,,8,9,1,,,,,,,,,,,,,,,,,14,,13,1,26,,,6,75,376,134,7,5,16,4,,,,,,,,,,,,,,,,13,43,81,55,,0,10,7,116,101,,3,107,113,11,10,1,38,,,,,,,1,1,47,65,173,9,2,3,6,3,,,37,2,,3,14,5,,3,,143,87,10,3,12,5,1,4,2,,,,,9,,7,5,6,,1,10,,3,7,5,9,4,2,7,4,10,1,2,2,1,2,1,,2,1,,4,4,1,3,4,1,,,,,1,2,2,,,,,,0,
102,,,,,,6,,,,2,,,,,1,12,10,4,,2,,2,,4,2,,6,,2,,,,,,9,1,,18,6,130,20,7,2,4,5,,,,,4,,,,,,4,,,,,,,15,,15,,18,,4,6,84,414,167,23,4,20,5,,,,2,,,,3,1,,,,,,,18,45,87,59,,,6,6,226,,,,110,120,7,9,,38,,,,,,,,,52,71,192,10,2,3,,,,,47,9,,,13,4,,2,,159,96,4,,6,2,,,,,,,,,,3,4,,,,4,20,,1,2,2,1,1,3,3,5,1,2,2,1,,1,,2,1,,3,3,,,,,,,,,1,2,2,,,,,,,
103,4,,13,27,,,,,11,29,31,68,,86,6,13,2,,,,,,,,,,,,,,,,,,20,18,2,29,259,36,278,6,,,18,,,,,,,,,,,,,,,,,,,,18,4,18,,4,6,321,75,221,,,4,4,,,11,,,,,,2,9,6,2,,,,,34,38,31,,2,18,9,,,27,177,52,27,,4,2,31,6,,,2,,,,,9,9,34,31,22,6,129,52,9,,52,,9,50,29,13,,13,9,2,36,66,25,6,,,,,,,,2,,,,6,,2,47,61,,50,18,2,6,4,,4,4,6,4,,,,,,4,11,6,,4,4,4,4,9,,,,,,,,,,,,,,,
104,3,5,14,15,,,0,,17,25,9,48,,64,4,10,7,,,,,,,,,,,,,,,,,,23,10,0,21,182,27,191,5,,11,18,,,,,,,,,,,,,,,,,,,,17,0,25,,3,5,221,64,182,,,6,5,,,8,,,,,,1,6,5,1,,,,,42,46,41,,0,15,1,5,,66,73,56,59,13,5,1,20,5,,,1,,,,,8,6,50,28,23,3,164,81,99,30,129,88,9,48,15,6,,5,6,2,20,55,20,6,0,,,,,,,1,,,1,4,3,1,34,49,20,39,17,3,9,5,,4,2,5,2,0,,,,,3,8,5,,3,4,4,4,9,,,,,,,,,,,,,,,10
105,3,6,18,16,0,0,5,,21,24,8,14,,19,2,6,13,0,,18,,,,,0,,2,2,,,,8,,,25,6,2,9,51,66,60,2,,13,18,3,0,,,1,1,,,2,1,,,,,,,,10,7,25,0,35,,1,4,98,211,119,1,7,35,5,1,2,0,,1,2,,,,,,,0,,,11,36,58,43,,,30,5,117,54,12,36,13,127,35,11,0,34,2,,,,,,,1,28,35,114,5,5,5,84,34,33,14,49,27,12,66,31,10,,5,,79,50,27,5,11,6,0,1,1,,,,,5,,7,6,2,0,11,31,12,49,7,2,5,2,0,5,5,12,2,2,1,0,1,0,1,3,5,,6,3,1,1,3,,,,,,0,1,1,,,,,,,6
106,10,14,43,44,1,1,18,2,66,77,3,,,3,1,6,32,2,,58,,,,,1,,3,2,,,,26,,,74,21,8,23,5,75,13,3,3,35,51,10,1,,,3,3,,,7,5,,,,,,,,28,23,77,3,118,4,,3,48,240,143,4,2,110,15,1,7,4,,3,7,,,0,2,1,0,1,,,35,82,113,85,,1,114,6,134,64,7,42,138,133,108,43,1,77,10,,,0,,,,3,31,50,177,18,37,24,157,85,58,48,114,63,28,144,62,,,1,4,92,55,29,0,12,15,1,3,1,,,,0,5,,12,6,4,2,6,34,32,82,0,0,1,0,,1,6,16,5,6,1,,1,,,3,3,1,2,,,2,,,,,,1,,,,4,2,0,,,1,14
107,20,19,78,87,1,1,23,7,130,161,4,5,,,1,10,35,5,,61,,,,,1,,,,,,,29,,,89,42,5,16,3,9,45,7,7,63,71,10,1,,,,,,,,,,,,,,,,35,23,74,9,200,,,3,,7,32,19,7,128,21,,,,,,,,,,,,,,,,57,61,37,29,,4,145,60,19,6,,14,58,162,107,62,3,24,,,,,,,,5,11,4,11,0,10,12,103,44,45,18,30,52,23,59,74,,,,0,3,3,17,,6,13,5,10,3,,,,,16,,10,,10,5,7,41,18,107,1,1,3,1,,,3,10,3,5,3,,3,,,5,1,,,,,7,,,,,,,,,,,,,,,3,18
108,17,,53,77,,,11,11,119,158,,8,,14,8,50,20,5,,2,,,,,,,,,,,,,,,50,62,11,71,5,8,74,110,167,125,71,,,,,5,5,,,11,8,,,,,,,,11,,53,17,787,173,11,5,,2,53,71,29,65,11,,11,2,,5,11,,,,,,,2,,,14,266,290,224,,14,763,131,62,23,5,17,62,215,206,209,5,113,14,,,,,,5,14,32,44,134,,23,20,50,11,14,14,62,,14,41,77,,,,,50,20,152,,41,59,8,35,29,11,5,,,68,,44,23,11,5,2,20,29,50,2,2,5,2,,,14,35,17,23,5,,17,,,11,2,,,,,11,,,,,,8,,,,20,11,2,,,5,11
109,228,346,30,578,109,39,705,6,54,73,,261,6,237,6,12,6,18,12,699,6,3,3,36,15,,,,,36,3,3,,,541,3,3,483,139,27,12,97,6,203,209,,,,,3,,,,9,3,6,6,6,,15,,,30,188,383,30,24,,9,,,,6,6,6,18,,21,9,54,,18,9,3,,3,12,21,12,,3,3,182,742,161,21,6,6,15,6,9,,3,6,3,6,12,6,,103,48,,,48,12,,36,60,1357,,3,3,,,,,,6,24,6,69,12,6,60,,69,6,24,200,249,9,289,249,24,112,39,,33,,3,112,45,146,91,322,60,9,66,63,203,45,185,127,42,57,139,63,155,88,45,15,12,21,3,6,82,24,30,60,51,54,33,30,15,12,,6,6,6,6,12,27,12,3,,,15,33
110,56,88,65,114,74,111,145,10,8,133,88,46,,143,130,27,5,22,10,175,59,15,72,292,237,68,132,82,85,40,117,102,48,170,440,58,4,556,18,20,29,15,2,22,112,162,18,,63,411,182,156,92,289,302,1,32,71,43,199,43,1,411,1,288,11,63,7,3,2,8,54,35,15,7,48,110,289,585,213,17,139,285,128,145,62,251,115,10,153,10,1,265,580,39,33,7,1,12,4,31,14,5,10,25,53,11,15,14,1879,1075,74,140,142,6,5,137,72,666,2,40,5,7,5,25,9,,6,62,18,25,46,11,23,,24,22,20,56,31,6,46,231,25,444,438,15,8,144,98,253,51,140,25,24,7,6,17,27,71,2,15,10,4,52,125,83,78,40,92,75,5,173,122,17,74,19,37,124,37,52,46,0,66,10,43,8,157,75,110,103,250,160,57,52,24,127,63
111,2,13,6,39,10,51,30,1,2,1,,,,5,5,,,2,,52,9,7,30,103,297,231,51,21,74,62,37,56,26,75,99,,,31,,,9,1,,5,7,63,,,14,3346,1511,1630,931,1891,2517,23,177,457,44,47,21,,173,,,,,,,,,,14,,,,,154,4554,1810,95,1125,2325,896,1084,403,1669,850,52,1337,17,,41,527,18,10,,,,,,,3,7,6,23,,6,21,3413,7346,526,948,910,95,15,309,316,2280,,11,3,,,13,10,,6,51,2,,66,21,21,,25,23,14,101,35,2,161,529,54,579,99,84,56,1119,433,468,60,317,,312,89,13,29,,35,37,215,169,84,174,198,153,353,156,87,75,46,95,87,19,107,109,52,505,166,119,54,21,38,5,26,,60,34,44,48,47,27,35,62,,38,13
112,,,,,,,,,,,,,,,,,,,,,,,,2,27,4,14,22,39,,,,,,73,,,12,,,,,,12,12,,,,4,85,9,,,14,4,,29,211,2,,,,,,,,,,,,,,,,,,,4,110,436,17,68,122,407,525,211,819,483,166,88,,,12,71,,,,,,,,,,,,,,,,436,976,520,530,748,68,,63,27,201,,,,,,,,,,,,,,39,,,,,,29,9,9,,29,,7,7,7,108,503,211,645,39,7,,,49,9,49,,,9,95,93,49,152,189,7,103,12,49,191,139,9,12,9,115,152,29,282,68,39,22,9,19,,,,,,,,,,,,,,
113,,,,,,,,,,,,,,,,,,,,,,,,6,13,8,28,26,55,,,,,,,,,,,,,,,,,,,,4,17,,,,64,8,,,8,11,,,,,,,,,,,,,,,,,,,4,80,33,35,186,300,887,1266,473,1780,767,15,8,,,,131,,,,,,,,,,,,,,,,752,1595,480,707,881,4,,2,,384,,,,,,,,,,,,,,,,,,,,51,,,,,,,,,24,1145,449,95,2,,,,4,,,,,,4,8,2,6,13,,8,13,15,17,15,44,,,93,24,,13,4,8,,,,,,,33,,,,77,44,11,,,,
114,,,,,,1,0,0,0,0,,,,,,,,0,,1,,,0,0,1,1,1,,2,0,1,1,0,1,9,,,0,,,,,,0,0,0,,,0,6,0,0,,5,0,1,3,11,1,,0,,0,,,,,,,,,,0,,,,,1,5,38,3,14,24,81,101,42,157,87,10,6,,,2,13,0,0,,,,,,,0,0,,0,,,3,81,164,72,94,87,17,2,30,15,50,,0,0,,,,,,,0,,,,2,,,,0,,4,0,0,,,,,0,0,31,110,46,53,1,,,,4,0,3,,,0,7,7,3,10,13,,5,0,3,12,8,5,5,0,12,11,0,18,5,3,1,0,0,,,,1,0,1,0,3,1,0,,,,
115,,,,,,10,,,,,,,,,,,,,,2,,,5,,,,,,,,5,7,2,7,5,,,,,,,,,,,4,,,,,,,,,,,,,,,2,,1,,,,,,,,,,,,,,,1,,86,,,,,,,,37,,34,,,4,5,,,,,,,,,,,,,,,5,21,103,40,2,103,17,5,72,28,27,,,,,,,,,,,,,,,,,,4,,2,,,,,,,2,2,34,,,129,5,,,,23,,,,,,31,28,11,34,34,,17,,8,34,20,,5,,20,25,,57,11,8,2,,,,,,,1,2,2,,,,,,,
116,,,,,,38,,,,,,,,,,,,,,,,,19,,,,,,,4,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,,14,,,,,,,,,,,,,,,14,,,,,,,,,,,,,,,9,4,,,,,,,,,,,,,,,,57,57,,,43,19,,47,19,14,,,,,,,,,,,,,,,,,,,,4,,,,,,14,19,9,9,,,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
117,,2,1,7,,,5,,,,,,,,,,,,,7,1,,,,,,,,,1,1,6,5,7,13,,,,,,,,,,,9,,,,,,,,,,,,31,,,2,,15,,1,,9,1,,,,,,1,1,3,1,2,,83,,,,,,,,25,7,31,,,6,101,1,1,,,5,,2,,,,,,,2,15,434,309,34,1,169,66,13,190,95,91,,,,,,,,,,,,,,,,,,11,,11,3,3,,15,14,289,381,70,71,,30,384,40,31,,,10,3,,,,,14,13,5,21,33,14,37,13,50,68,22,173,150,18,56,23,5,58,13,18,9,,9,,2,,116,79,117,111,232,133,34,5,,9,
118,3,7,16,53,,10,28,,8,14,,,,14,3,,5,,,23,10,3,7,,3,,,7,5,,7,10,,17,39,,3,23,10,,5,3,1,8,7,3,,,,5,1,5,3,,3,,7,17,,1,3,,7,3,25,,16,1,,,,,,1,,8,3,12,12,42,,,,,,,3,5,7,12,3,,26,103,14,3,,1,3,14,5,,,,5,10,10,8,35,313,427,19,,118,35,7,128,207,282,3,10,,,,,,,,,3,,,,,,,10,3,37,171,5,89,533,239,476,1009,,60,5,256,642,53,180,,171,37,12,21,5,32,19,89,62,30,46,57,78,136,84,85,34,16,374,277,44,64,42,34,154,46,25,23,12,3,1,8,14,57,188,259,268,118,28,28,60,5,14,7
119,75,124,29,164,38,23,219,2,12,62,33,86,1,112,47,11,4,6,2,206,16,2,9,55,46,12,12,,14,13,15,11,5,13,241,22,2,316,48,25,9,28,3,58,93,17,2,,9,212,95,113,62,121,160,2,6,12,8,29,5,,50,50,207,8,15,1,3,0,12,50,20,4,3,10,37,38,288,90,3,66,140,57,65,23,94,47,3,76,0,,91,274,48,9,4,1,5,4,27,13,1,2,14,15,3,3,130,467,504,23,50,62,5,0,20,46,398,14,30,1,0,0,3,3,,2,28,9,23,7,5,22,,24,9,41,69,107,7,74,215,41,49,150,,9,81,62,86,19,78,31,65,12,8,23,24,72,8,38,27,8,25,105,55,67,25,28,19,2,46,35,7,33,8,33,69,18,26,21,6,32,7,52,0,43,23,28,32,92,50,15,7,21,126,121
120,,,,,,,,,,,,,,8,5,,,,,,,,,,,,,,,,,,,,1,,,21,10,150,10,8,8,15,3,,,,,,,,,,,,,,,,,,1,,5,1,54,14,,3,90,464,153,,3,,,,,,,,,,,,,,,,,,,33,93,42,,,54,14,224,111,7,14,113,146,8,26,,12,,,,,,,,3,86,7,281,19,7,3,3,1,,,67,17,81,21,7,56,,58,15,314,164,90,3,42,24,3,5,,,,,,,,19,30,7,3,,37,174,65,,,,,,5,21,37,15,12,3,,,,,8,10,7,12,,,,,1,,,,5,,,,12,7,1,,,,1
121,,,,,,,,,,1,,3,,8,4,13,1,,,,,,,,,,4,3,,,,,,,5,1,,26,14,109,28,8,7,9,4,,,,,,,,,,,,,,,,,,6,,8,1,41,11,,6,82,337,147,,1,,0,2,0,2,,,,,,0,1,1,0,,,,0,63,130,79,,,43,11,163,81,7,28,98,141,6,21,0,47,4,,,0,,,,2,49,76,137,18,25,25,50,29,29,20,56,27,3,78,20,,,,3,148,85,55,0,18,17,2,4,,,,,0,,,14,12,1,0,,,,,,,,,,2,9,14,7,10,2,,,,,5,8,0,2,,,,,,,,,4,,,,10,5,1,,,,
122,,,,,,,,,,3,,8,,3,1,6,,,,,,,,,,,,,,,,,,,5,2,,9,21,24,25,,,4,2,,,,,,,,,,,,,,,,,,,,6,,4,,,1,36,70,52,,,,2,,,5,,,,,,1,4,3,1,,,,,33,38,37,,,2,,20,10,16,37,10,35,1,,1,16,3,,,1,,,,,6,12,43,2,27,4,29,30,1,12,54,27,,19,8,,,,6,19,10,11,1,6,1,,,,,,,1,,,,3,4,2,,,,,,,,,,,2,2,1,,,,,,,,,2,3,,,,,,,,,,,,,,,,,,,
123,13,,41,55,,,11,11,90,123,,19,,8,2,16,2,5,,2,,,,,,,,,,,,,,,30,44,2,13,55,30,60,,,,41,,,,,,,,,,,,,,,,,,2,,13,11,63,,,2,79,44,77,,8,5,2,,,,,,,,,,,,,,,,,121,162,115,,2,27,5,13,5,27,77,24,170,33,22,,46,,,,,,,,,2,11,146,66,66,123,110,129,2,82,129,63,8,190,225,16,,8,5,,,38,5,33,5,,,,,,,,,,8,27,,,2,13,,16,2,5,5,2,2,2,19,30,8,5,5,2,,2,,5,2,11,27,8,,,,,,,,,2,5,5,,,,,,,5
124,13,,41,59,,,9,9,91,114,,,,,,,,4,,2,,,,,,,,,,,,,,,15,31,,13,,4,,,,,31,,,,,,,,,,,,,,,,,,6,,,11,61,,,,2,27,15,,6,,,,,,,,,,,,,,,,,,,54,95,54,,,15,4,15,6,6,9,22,93,31,15,,31,,,,,,,,,4,4,118,9,102,68,13,15,20,31,2,,13,95,246,36,,22,2,4,13,36,2,25,6,,,,,,,,,,11,20,,,2,27,,13,4,9,13,6,4,4,13,29,6,6,4,2,,2,2,4,11,4,20,11,,9,,,,,,13,2,4,4,,,,,,4,4
125,4,8,21,19,0,0,6,,27,30,6,16,,25,1,,16,0,,24,,,,,0,,3,2,,,,11,,,31,8,3,4,65,2,67,2,,16,21,4,0,,,1,1,,,2,2,,,,,,,,9,9,27,0,41,,1,1,76,13,82,,,41,5,2,3,0,,1,2,,,,,,,0,,,11,29,30,27,,0,38,0,4,,20,70,55,94,41,6,,22,3,,,,,,,,4,0,38,9,14,2,103,110,55,35,98,60,20,107,21,5,,3,,1,11,37,15,9,1,,,,,,,,,,2,6,2,0,23,47,16,62,11,2,5,2,,2,4,7,3,1,,,,,2,6,8,,2,2,2,2,6,,,,,,,,,,,,,,,7
126,1,3,9,6,0,0,4,,10,11,2,13,,20,1,,8,0,,18,,,,,0,,,,,,,5,,,15,2,2,2,50,1,52,1,,6,10,2,,,,1,1,,,2,1,,,,,,,,8,6,22,,21,,1,1,59,7,45,,,33,4,,2,0,,1,2,,,,,,,0,,,11,32,32,29,,,25,,3,,13,55,35,81,28,2,,13,4,,,,,,,,7,0,35,15,27,4,176,106,3,37,134,54,21,118,10,5,,2,0,1,9,44,19,15,2,,,,,,,,,,5,11,2,0,25,44,5,46,9,1,4,2,,2,9,8,8,9,2,1,4,,1,13,7,,2,2,2,2,5,,,,,1,,,,,2,,,,,1
127,9,19,43,38,,,4,,58,62,4,,,,,,29,,,,,,,,,,,,,,,,,,38,14,,4,,,,,,43,43,,,,,,,,,,,,,,,,,,,,14,,77,,,,,24,146,,,14,4,,,,,,,,,,,,,,,,,30,30,30,,,33,,,,3,113,58,92,48,4,,,,,,,,,,,,,59,0,0,8,146,5,257,72,154,227,,1,34,17,,9,,,7,27,1,8,2,,,,,,,,,,5,8,,,1,1,58,,,,,,,,4,11,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,29
128,3,6,14,12,,,1,,19,20,1,,,,,,23,,,12,,,,,,,,,,,,7,,,25,4,9,20,4,,4,17,,14,26,3,,,,,,,,,,,4,6,,,,,7,4,23,,33,,9,,,7,74,,,28,3,,,4,,,,,,,1,,,1,,,,58,61,53,,,26,,,,,57,41,125,31,7,3,23,7,,,,,,,,12,,66,17,47,22,153,103,118,101,150,111,23,214,63,28,,25,,11,23,22,4,,,,,,,,,,,,,,,,4,4,19,9,19,,,,,7,,,,,,,,6,,7,4,,3,4,4,4,9,,,,,,,,,,,,,,,9
129,2,5,21,10,,37,13,24,20,38,26,95,,66,5,53,59,35,,8,,9,,29,30,,29,,9,,,,,,53,4,,177,154,9,175,110,13,13,29,,,,,17,21,,,11,4,17,6,8,,,,,8,,11,,23,,75,4,177,69,298,0,0,8,1,,,10,23,26,13,8,36,2,5,2,0,2,,,2,68,44,43,,,12,0,30,17,9,63,37,79,14,8,3,62,16,,,0,,,,,40,16,49,20,19,0,113,97,67,40,1153,687,289,68,5,168,,136,1,58,161,48,25,,,,,,,,10,86,,,,,,1,27,199,796,289,51,24,24,12,51,65,,8,,7,16,2,11,47,0,40,27,,29,21,10,18,27,21,,,,,2,5,5,,,,,,2,127
130,6,11,30,22,,28,11,15,36,52,15,49,,31,2,20,61,26,,7,,7,,21,20,,23,,7,,,,,,44,8,,101,70,,77,66,10,25,32,,,,,15,10,,,6,1,15,,,,,,,5,,,,43,,44,0,80,19,203,0,0,,,,,,17,15,6,6,22,1,,,,,,,0,26,16,17,,,13,,2,3,,44,21,45,25,,0,19,0,,,,,,,0,14,4,24,10,9,,71,40,101,30,704,506,144,12,,79,,67,,16,81,14,8,,,,0,,,,8,54,,,,,,0,8,92,403,145,18,15,15,7,35,45,,5,,5,11,1,7,30,,24,16,,19,6,2,5,10,9,,,,,1,3,3,,,,,,,88
131,1,2,5,4,,5,1,,6,10,0,,,3,,,13,5,,1,,1,,3,1,,5,,1,,,,,,1,1,0,10,4,,4,8,2,4,4,,,,,3,,,,6,0,3,,,,,,,2,,0,,7,,5,,4,0,28,,,0,,,,,2,12,7,2,13,,,,,,,,,17,2,1,,,2,,,,0,2,4,9,5,1,4,12,,,,,,,,,16,9,1,,0,1,11,7,,3,138,67,126,10,0,116,,96,,35,93,0,0,0,,,,,,,3,21,,,0,0,1,1,0,107,334,155,1,11,10,5,11,21,0,4,0,3,6,0,5,11,,6,3,,6,4,1,3,0,4,,,,,0,1,1,,,,,,1,11
